Cause,TotalDeaths
B220,20227.0
B221,2170.0
B222,30420.0
B227,121490.0
B23,69867.0
B230,3284.0
B231,537.0
B232,18437.0
B238,164573.0
B24,547335.0
B25,2458.0
B250,5601.0
B251,848.0
B252,74.0
B258,3020.0
B259,8355.0
B26,10869.0
B260,12.0
B261,36.0
B262,94.0
B263,34.0
B268,268.0
B269,1005.0
B27,240.0
B270,3028.0
B271,78.0
B278,78.0
B279,984.0
B30,62.0
B300,8.0
B301,2.0
B302,14.0
B308,4.0
B309,22.0
B33,414022.0
B330,26.0
B331,10.0
B332,3493.0
B333,3318.0
B334,1105.0
B338,797.0
B34,15233.0
B340,2096.0
B341,1639.0
B342,9912.0
B343,313.0
B344,65.0
B348,15280.0
B349,37274.0
B35,212.0
B350,10.0
B351,22.0
B352,8.0
B353,54.0
B354,18.0
B355,2.0
B356,30.0
B358,18.0
B359,40.0
B36,83.0
B360,11.0
B361,2.0
B362,6.0
B368,10.0
B369,193.0
B37,16301.0
B370,2921.0
B371,8032.0
B372,168.0
B373,108.0
B374,1046.0
B375,327.0
B376,1008.0
B377,21677.0
B378,6096.0
B379,6397.0
B38,53.0
B380,298.0
B381,136.0
B382,1575.0
B383,12.0
B384,466.0
B387,906.0
B388,60.0
B389,1138.0
B39,374.0
B390,109.0
B391,62.0
B392,1059.0
B393,579.0
B394,43.0
B399,2882.0
B40,121.0
B400,164.0
B401,108.0
B402,1465.0
B403,36.0
B407,516.0
B408,86.0
B409,1352.0
B41,33.0
B410,1666.0
B417,816.0
B418,200.0
B419,1534.0
B42,18.0
B420,80.0
B421,8.0
B427,70.0
B428,8.0
B429,64.0
B43,148.0
B430,6.0
B431,236.0
B432,58.0
B438,19.0
B439,91.0
B44,973.0
B440,4900.0
B441,34251.0
B442,12.0
B447,792.0
B448,999.0
B449,8454.0
B45,51825.0
B450,1246.0
B451,12061.0
B452,20.0
B453,22.0
B457,1466.0
B458,132.0
B459,2352.0
B46,227.0
B460,527.0
B461,820.0
B462,72.0
B463,60.0
B464,186.0
B465,1775.0
B468,60.0
B469,81.0
B47,180.0
B470,42.0
B471,36.0
B479,648.0
B48,453.0
B480,12.0
B481,8.0
B482,18.0
B483,6.0
B484,26.0
B485,3030.0
B487,630.0
B488,1334.0
B49,58707.0
B50,4702.0
B500,3933.0
B508,406.0
B509,3415.0
B51,80.0
B510,40.0
B518,423.0
B519,1278.0
B52,106.0
B520,12.0
B528,46.0
B529,68.0
B53,104.0
B530,10.0
B531,4.0
B538,59.0
B54,21352.0
B55,263.0
B550,11675.0
B551,895.0
B552,435.0
B559,2523.0
B56,47.0
B560,10.0
B561,8.0
B569,52.0
B57,347.0
B570,7529.0
B571,1587.0
B572,218613.0
B573,27809.0
B574,1852.0
B575,4908.0
B58,6633.0
B580,45.0
B581,61.0
B582,4017.0
B583,317.0
B588,1465.0
B589,3300.0
B59,124442.0
B60,26.0
B600,350.0
B601,17.0
B602,132.0
B608,8.0
B64,191.0
B65,40630.0
B650,574.0
B651,14064.0
B652,285.0
B653,8.0
B658,992.0
B659,11467.0
B66,121.0
B660,2.0
B661,18.0
B663,130.0
B664,42.0
B668,32.0
B669,68.0
B67,2872.0
B670,722.0
B671,700.0
B672,40.0
B673,278.0
B674,30.0
B675,384.0
B676,156.0
B677,188.0
B678,2636.0
B679,3354.0
B68,50.0
B680,26.0
B681,2.0
B689,52.0
B69,1564.0
B690,11131.0
B691,30.0
B698,134.0
B699,1948.0
B70,25.0
B700,2.0
B701,12.0
B71,42.0
B710,14.0
B711,4.0
B718,4.0
B719,40.0
B72,40.0
B73,54.0
B74,290.0
B740,76.0
B741,4.0
B742,2.0
B743,17.0
B744,10.0
B748,26.0
B749,693.0
B75,104.0
B76,28.0
B760,40.0
B761,8.0
B768,8.0
B769,94.0
B77,544.0
B770,1556.0
B778,810.0
B779,1990.0
B78,79.0
B780,138.0
B781,8.0
B787,728.0
B789,730.0
B79,34.0
B80,265.0
B81,150.0
B810,10.0
B811,90.0
B812,22.0
B813,16.0
B814,128.0
B818,16.0
B82,1368.0
B820,158.0
B829,6229.0
B83,800.0
B830,48.0
B831,28.0
B832,42.0
B833,8.0
B838,38.0
B839,968.0
B85,26.0
B850,6.0
B851,44.0
B852,18.0
B853,4.0
B86,1568.0
B87,58.0
B870,324.0
B871,198.0
B872,106.0
B873,336.0
B874,42.0
B878,539.0
B879,1100.0
B88,72.0
B880,54.0
B881,38.0
B882,18.0
B883,4.0
B888,53.0
B889,734.0
B89,1714.0
B90,30837.0
B900,1145.0
B901,394.0
B902,508.0
B908,652.0
B909,148786.0
B91,27827.0
B92,1587.0
B94,2553.0
B940,20.0
B941,3061.0
B942,40352.0
B948,49324.0
B949,1014.0
B98,2.0
B980,8.0
B981,12.0
B99,256826.0
C00,5451.0
C000,2680.0
C001,11215.0
C002,422.0
C003,446.0
C004,2516.0
C005,556.0
C006,449.0
C008,984.0
C009,19459.0
C01,136975.0
C02,35203.0
C020,2664.0
C021,10513.0
C022,2416.0
C023,1890.0
C024,2042.0
C028,8738.0
C029,398209.0
C03,5922.0
C030,32831.0
C031,23364.0
C039,22158.0
C04,9791.0
C040,3677.0
C041,2309.0
C048,7286.0
C049,124853.0
C05,5976.0
C050,9365.0
C051,19138.0
C052,3654.0
C058,1940.0
C059,32713.0
C06,29484.0
C060,22362.0
C061,1218.0
C062,9995.0
C068,4826.0
C069,202679.0
C07,156749.0
C08,6498.0
C080,21197.0
C081,1574.0
C088,1002.0
C089,27354.0
C09,10148.0
C090,6152.0
C091,2927.0
C098,6240.0
C099,156011.0
C10,17965.0
C100,4738.0
C101,1384.0
C102,3756.0
C103,1656.0
C104,828.0
C108,10658.0
C109,293460.0
C11,43837.0
C110,2166.0
C111,5704.0
C112,864.0
C113,2141.0
C118,3236.0
C119,168099.0
C12,49209.0
C13,14651.0
C130,3721.0
C131,1559.0
C132,2664.0
C138,10000.0
C139,218093.0
C14,29212.0
C140,282923.0
C142,434.0
C148,21964.0
C15,235913.0
C150,23033.0
C151,61653.0
C152,6530.0
C153,14957.0
C154,29231.0
C155,66177.0
C158,33767.0
C159,3069986.0
C16,437484.0
C160,342351.0
C161,25337.0
C162,194081.0
C163,182374.0
C164,25584.0
C165,17633.0
C166,5286.0
C168,152393.0
C169,6384335.0
C17,29263.0
C170,179205.0
C171,15164.0
C172,18003.0
C173,635.0
C178,4880.0
C179,109054.0
C18,451914.0
C180,441952.0
C181,70027.0
C182,432422.0
C183,38822.0
C184,190391.0
C185,28075.0
C186,133159.0
C187,1028956.0
C188,81965.0
C189,6789825.0
C19,759332.0
C20,3104929.0
C21,13077.0
C210,125485.0
C211,43746.0
C212,919.0
C218,31206.0
C22,840807.0
C220,3043583.0
C221,1100160.0
C222,8737.0
C223,6204.0
C224,3887.0
C227,32146.0
C229,1951759.0
C23,1010906.0
C24,69573.0
C240,687345.0
C241,164963.0
C248,20805.0
C249,382902.0
C25,319698.0
C250,922708.0
C251,125779.0
C252,124878.0
C253,17388.0
C254,13806.0
C257,9681.0
C258,95766.0
C259,6122781.0
C26,95989.0
C260,663566.0
C261,9983.0
C268,38970.0
C269,331400.0
C30,4730.0
C300,33812.0
C301,6080.0
C31,6216.0
C310,49463.0
C311,11004.0
C312,1525.0
C313,2967.0
C318,2366.0
C319,33075.0
C32,104866.0
C320,49364.0
C321,54800.0
C322,4851.0
C323,3716.0
C328,24891.0
C329,968273.0
C33,34167.0
C34,1319469.0
C340,175945.0
C341,726986.0
C342,116399.0
C343,433237.0
C348,318747.0
C349,23477104.0
C37,59315.0
C38,19258.0
C380,17517.0
C381,5415.0
C382,2256.0
C383,86199.0
C384,64428.0
C388,4447.0
C39,8982.0
C390,16209.0
C398,11675.0
C399,44594.0
C40,25267.0
C400,10641.0
C401,1324.0
C402,36944.0
C403,2327.0
C408,1476.0
C409,12423.0
C41,61395.0
C410,46556.0
C411,39770.0
C412,47013.0
C413,7612.0
C414,27249.0
C418,3376.0
C419,239587.0
C43,52653.0
C430,3264.0
C431,4094.0
C432,5267.0
C433,26049.0
C434,17880.0
C435,46921.0
C436,23413.0
C437,48203.0
C438,15757.0
C439,1116389.0
C44,43931.0
C440,6699.0
C441,7824.0
C442,44625.0
C443,92469.0
C444,106015.0
C445,26901.0
C446,13464.0
C447,21458.0
C448,5303.0
C449,349725.0
C45,15886.0
C450,242183.0
C451,28313.0
C452,1340.0
C457,30237.0
C459,327409.0
C46,29028.0
C460,1180.0
C461,1142.0
C462,126.0
C463,316.0
C467,1422.0
C468,536.0
C469,14722.0
C47,2872.0
C470,1454.0
C471,848.0
C472,1300.0
C473,926.0
C474,988.0
C475,938.0
C476,510.0
C478,368.0
C479,18535.0
C48,16376.0
C480,114149.0
C481,18049.0
C482,154698.0
C488,6184.0
C49,31914.0
C490,32068.0
C491,18311.0
C492,72972.0
C493,22512.0
C494,45723.0
C495,30521.0
C496,5630.0
C498,4324.0
C499,430641.0
C50,654838.0
C500,38465.0
C501,23047.0
C502,14110.0
C503,7821.0
C504,52074.0
C505,9432.0
C506,2260.0
C508,112896.0
C509,8095118.0
C51,13190.0
C510,4340.0
C511,960.0
C512,1107.0
C518,5891.0
C519,235208.0
C52,82069.0
C53,252946.0
C530,27672.0
C531,13379.0
C538,38758.0
C539,1507628.0
C54,66632.0
C540,4646.0
C541,676082.0
C542,5314.0
C543,2144.0
C548,19536.0
C549,201910.0
C55,915805.0
C56,2811272.0
C57,9515.0
C570,35725.0
C571,376.0
C572,56.0
C573,434.0
C574,7287.0
C577,2691.0
C578,18127.0
C579,73700.0
C58,5991.0
C60,5961.0
C600,1400.0
C601,2672.0
C602,1266.0
C608,1878.0
C609,96660.0
C61,7153455.0
C62,10490.0
C620,1529.0
C621,2903.0
C629,118827.0
C63,3311.0
C630,620.0
C631,1071.0
C632,3332.0
C637,1188.0
C638,1222.0
C639,8383.0
C64,2571700.0
C65,126453.0
C66,133310.0
C67,192555.0
C670,14576.0
C671,3800.0
C672,15230.0
C673,3356.0
C674,5818.0
C675,4576.0
C676,3117.0
C677,5669.0
C678,70244.0
C679,3075102.0
C68,4213.0
C680,26416.0
C681,216.0
C688,14437.0
C689,263948.0
C69,8383.0
C690,1790.0
C691,348.0
C692,8557.0
C693,21886.0
C694,4106.0
C695,2696.0
C696,12257.0
C698,1704.0
C699,36266.0
C70,8876.0
C700,18290.0
C701,1272.0
C709,27284.0
C71,308571.0
C710,486210.0
C711,85281.0
C712,64016.0
C713,37446.0
C714,11873.0
C715,9132.0
C716,58179.0
C717,44107.0
C718,52650.0
C719,2076135.0
C72,10822.0
C720,22774.0
C721,599.0
C722,666.0
C723,1689.0
C724,1018.0
C725,3392.0
C728,3224.0
C729,45449.0
C73,488331.0
C74,9433.0
C740,15206.0
C741,6753.0
C749,94337.0
C75,7130.0
C750,5101.0
C751,17947.0
C752,1157.0
C753,5996.0
C754,642.0
C755,2888.0
C758,1290.0
C759,29817.0
C76,80303.0
C760,285344.0
C761,31301.0
C762,227608.0
C763,78849.0
C764,6541.0
C765,19844.0
C767,32797.0
C768,13914.0
C77,40672.0
C770,3643.0
C771,740.0
C772,1814.0
C773,264.0
C774,349.0
C775,102.0
C778,420.0
C779,14017.0
C78,14567.0
C780,40876.0
C781,1133.0
C782,16184.0
C783,1466.0
C784,604.0
C785,7968.0
C786,66642.0
C787,140360.0
C788,15201.0
C79,14847.0
C790,2262.0
C791,2226.0
C792,2255.0
C793,45557.0
C794,1784.0
C795,37066.0
C796,2270.0
C797,374.0
C798,88841.0
C799,22.0
C80,2667862.0
C800,590158.0
C809,2790908.0
C81,19967.0
C810,4282.0
C811,5778.0
C812,2932.0
C813,624.0
C814,160.0
C817,2206.0
C819,242611.0
C82,11065.0
C820,3048.0
C821,2626.0
C822,3482.0
C823,376.0
C824,398.0
C825,170.0
C826,48.0
C827,4072.0
C829,82373.0
C83,37920.0
C830,40513.0
C831,86036.0
C832,1463.0
C833,309322.0
C834,2158.0
C835,20634.0
C836,704.0
C837,40481.0
C838,30121.0
C839,45679.0
C84,5930.0
C840,16282.0
C841,5162.0
C842,728.0
C843,242.0
C844,54326.0
C845,88670.0
C846,748.0
C847,604.0
C848,3233.0
C849,4938.0
C85,93214.0
C850,5275.0
C851,306987.0
C852,1521.0
C857,20326.0
C859,2268981.0
C86,148.0
C860,1836.0
C861,431.0
C862,840.0
C863,46.0
C864,664.0
C865,6206.0
C866,262.0
C88,2024.0
C880,63911.0
C881,28.0
C882,168.0
C883,994.0
C884,3811.0
C887,652.0
C889,2832.0
C90,61288.0
C900,1835064.0
C901,23000.0
C902,29154.0
C903,33632.0
C91,164907.0
C910,421528.0
C911,699563.0
C912,1085.0
C913,8974.0
C914,17036.0
C915,54000.0
C916,2233.0
C917,6706.0
C918,406.0
C919,71505.0
C92,84664.0
C920,1531347.0
C921,268753.0
C922,3105.0
C923,6288.0
C924,30146.0
C925,27927.0
C926,386.0
C927,55002.0
C928,13632.0
C929,83471.0
C93,3013.0
C930,17220.0
C931,34603.0
C932,148.0
C933,305.0
C937,384.0
C939,5293.0
C94,4062.0
C940,3967.0
C941,225.0
C942,2793.0
C943,602.0
C944,5201.0
C945,1963.0
C946,3998.0
C947,8348.0
C95,103089.0
C950,298183.0
C951,33115.0
C952,140.0
C957,1638.0
C959,430791.0
C96,13720.0
C960,824.0
C961,1990.0
